Kategori,Harga,LT,LB,Sertifikat
Kost,1885800000,249,200,Lainnya
Gedung,4569600000,278,266,Hak Milik (HM)
Apartemen,480000000,0,80,Hak Milik (HM)
Rumah,1407600000,198,193,Hak Milik (HM)
Ruko,1272000000,152,113,Lainnya
Rumah,2869200000,426,371,Lainnya
Apartemen,522000000,0,87,Lainnya
Kost,1335600000,194,124,Lainnya
Gedung,1369200000,120,43,Hak Milik (HM)
Kost,2070600000,339,154,Lainnya
Kost,2066400000,253,239,Lainnya
Kost,1747200000,267,149,Lainnya
Apartemen,1104000000,0,184,Hak Guna Bangunan (HGB)
Gedung,4981200000,332,261,Hak Milik (HM)
Ruko,2635200000,392,157,Hak Milik (HM)
Gedung,873600000,56,48,Hak Milik (HM)
Kost,365400000,57,30,Hak Milik (HM)
Rumah,2012400000,322,237,Hak Milik (HM)
Apartemen,528000000,0,88,Hak Milik (HM)
Apartemen,366000000,0,61,Hak Milik (HM)
Rumah,1317600000,252,114,Hak Guna Bangunan (HGB)
Rumah,1897200000,279,248,Lainnya
Gedung,940800000,61,51,Hak Milik (HM)
Gedung,4863600000,440,139,Lainnya
Apartemen,264000000,0,44,Hak Milik (HM)
Kost,2776200000,343,318,Lainnya
Kost,2675400000,471,166,Lainnya
Gedung,6560400000,486,295,Lainnya
Apartemen,906000000,0,151,Hak Milik (HM)
Rumah,1432800000,352,46,Hak Milik (HM)
Rumah,2167200000,405,197,Lainnya
Kost,2637600000,492,136,Hak Milik (HM)
Gedung,1125600000,84,50,Lainnya
Rumah,1400400000,341,48,Hak Milik (HM)
Kost,709800000,119,50,Lainnya
Ruko,3417600000,472,240,Hak Milik (HM)
Ruko,729600000,118,34,Lainnya
Ruko,753600000,98,59,Lainnya
Rumah,1987200000,368,184,Hak Guna Bangunan (HGB)
Apartemen,876000000,0,146,Lainnya
Kost,1440600000,183,160,Lainnya
Kost,3011400000,470,247,Hak Guna Bangunan (HGB)
Rumah,684000000,106,84,Hak Milik (HM)
Rumah,1256400000,269,80,Hak Milik (HM)
Kost,1268400000,177,125,Hak Milik (HM)
Kost,3410400000,497,315,Lainnya
Ruko,2145600000,265,182,Lainnya
Kost,2452800000,300,284,Lainnya
Ruko,427200000,53,36,Lainnya
Apartemen,552000000,0,92,Hak Guna Bangunan (HGB)
Apartemen,360000000,0,60,Hak Guna Bangunan (HGB)
Apartemen,1062000000,0,177,Hak Guna Bangunan (HGB)
Apartemen,906000000,0,151,Hak Guna Bangunan (HGB)
Apartemen,546000000,0,91,Hak Milik (HM)
Ruko,1060800000,154,67,Hak Milik (HM)
Ruko,1080000000,156,69,Lainnya
Rumah,979200000,137,135,Hak Guna Bangunan (HGB)
Rumah,1360800000,348,30,Hak Milik (HM)
Kost,1272600000,171,132,Hak Milik (HM)
Ruko,1675200000,177,172,Hak Milik (HM)
Rumah,3045600000,433,413,Hak Milik (HM)
Apartemen,552000000,0,92,Lainnya
Kost,1205400000,186,101,Lainnya
Kost,617400000,87,60,Hak Guna Bangunan (HGB)
Gedung,5619600000,432,237,Hak Milik (HM)
Kost,2150400000,415,97,Hak Guna Bangunan (HGB)
Ruko,3417600000,408,304,Lainnya
Gedung,3175200000,343,35,Hak Milik (HM)
Rumah,2001600000,365,191,Hak Guna Bangunan (HGB)
Ruko,2904000000,340,265,Hak Guna Bangunan (HGB)
Kost,2595600000,448,170,Hak Milik (HM)
Gedung,5754000000,469,216,Hak Guna Bangunan (HGB)
Rumah,1216800000,201,137,Lainnya
Rumah,2930400000,413,401,Lainnya
Gedung,5854800000,360,337,Hak Milik (HM)
Ruko,748800000,112,44,Lainnya
Kost,445200000,56,50,Hak Milik (HM)
Kost,1953000000,325,140,Hak Milik (HM)
Gedung,5745600000,348,336,Hak Milik (HM)
Gedung,5972400000,402,309,Hak Guna Bangunan (HGB)
Kost,1339800000,242,77,Hak Guna Bangunan (HGB)
Ruko,2654400000,447,106,Lainnya
Rumah,2631600000,372,359,Lainnya
Ruko,2428800000,290,216,Lainnya
Ruko,979200000,157,47,Hak Milik (HM)
Rumah,406800000,72,41,Hak Guna Bangunan (HGB)
Rumah,2322000000,494,151,Hak Guna Bangunan (HGB)
Apartemen,1134000000,0,189,Hak Milik (HM)
Rumah,2228400000,495,124,Hak Guna Bangunan (HGB)
Ruko,2059200000,220,209,Hak Guna Bangunan (HGB)
Gedung,4636800000,329,223,Hak Milik (HM)
Gedung,3082800000,313,54,Hak Milik (HM)
Gedung,3292800000,283,109,Lainnya
Ruko,2208000000,307,153,Lainnya
Ruko,475200000,60,39,Hak Milik (HM)
Apartemen,462000000,0,77,Hak Milik (HM)
Kost,1772400000,344,78,Lainnya
Rumah,2073600000,376,200,Hak Milik (HM)
Ruko,854400000,139,39,Lainnya
Ruko,1718400000,281,77,Hak Milik (HM)
Kost,357000000,55,30,Lainnya
Gedung,898800000,63,44,Hak Milik (HM)
Kost,1129800000,161,108,Lainnya
Kost,2784600000,341,322,Hak Milik (HM)
Kost,982800000,190,44,Lainnya
Rumah,1382400000,312,72,Hak Guna Bangunan (HGB)
Kost,1978200000,289,182,Hak Milik (HM)
Gedung,4821600000,375,199,Lainnya
Ruko,1593600000,296,36,Hak Guna Bangunan (HGB)
Gedung,1579200000,117,71,Hak Milik (HM)
Rumah,1666800000,346,117,Hak Guna Bangunan (HGB)
Gedung,3276000000,249,141,Hak Milik (HM)
Kost,1213800000,150,139,Hak Guna Bangunan (HGB)
Ruko,2812800000,464,122,Hak Milik (HM)
Rumah,3088800000,434,424,Lainnya
Ruko,2870400000,301,297,Hak Guna Bangunan (HGB)
Apartemen,750000000,0,125,Lainnya
Gedung,5149200000,347,266,Hak Guna Bangunan (HGB)
Ruko,1699200000,248,106,Hak Guna Bangunan (HGB)
Kost,693000000,132,33,Hak Milik (HM)
Kost,1386000000,185,145,Hak Guna Bangunan (HGB)
Gedung,1528800000,100,82,Hak Guna Bangunan (HGB)
Gedung,6064800000,386,336,Hak Guna Bangunan (HGB)
Apartemen,690000000,0,115,Hak Guna Bangunan (HGB)
Apartemen,1164000000,0,194,Lainnya
Ruko,2750400000,302,271,Lainnya
Gedung,2343600000,243,36,Hak Milik (HM)
Kost,966000000,116,114,Lainnya
Gedung,823200000,65,33,Hak Guna Bangunan (HGB)
Kost,1453200000,237,109,Lainnya
Ruko,475200000,66,33,Hak Guna Bangunan (HGB)
Gedung,1125600000,71,63,Hak Milik (HM)
Kost,2200800000,270,254,Hak Milik (HM)
Ruko,2217600000,304,158,Lainnya
Gedung,4334400000,445,71,Hak Guna Bangunan (HGB)
Ruko,1689600000,217,135,Hak Milik (HM)
Apartemen,654000000,0,109,Hak Milik (HM)
Apartemen,1182000000,0,197,Hak Milik (HM)
Rumah,1839600000,414,97,Hak Milik (HM)
Kost,2158800000,372,142,Hak Guna Bangunan (HGB)
Gedung,2301600000,180,94,Lainnya
Rumah,1429200000,201,196,Lainnya
Kost,2742600000,384,269,Hak Guna Bangunan (HGB)
Gedung,5544000000,442,218,Hak Milik (HM)
Ruko,3494400000,378,350,Lainnya
Apartemen,498000000,0,83,Hak Guna Bangunan (HGB)
Kost,3313800000,443,346,Hak Milik (HM)
Rumah,828000000,197,33,Lainnya
Rumah,1141200000,159,158,Lainnya
Rumah,885600000,170,76,Hak Guna Bangunan (HGB)
Apartemen,1068000000,0,178,Hak Guna Bangunan (HGB)
Apartemen,1194000000,0,199,Hak Guna Bangunan (HGB)
Rumah,1720800000,409,69,Hak Guna Bangunan (HGB)
Kost,651000000,83,72,Lainnya
Rumah,1890000000,264,261,Hak Milik (HM)
Rumah,1598400000,307,137,Lainnya
Gedung,3922800000,390,77,Hak Guna Bangunan (HGB)
Rumah,1760400000,284,205,Hak Guna Bangunan (HGB)
Kost,1780800000,229,195,Hak Guna Bangunan (HGB)
Kost,3473400000,415,412,Lainnya
Ruko,3960000000,449,376,Lainnya
Ruko,648000000,105,30,Hak Milik (HM)
Apartemen,1140000000,0,190,Hak Guna Bangunan (HGB)
Kost,2326800000,315,239,Hak Guna Bangunan (HGB)
Ruko,2990400000,497,126,Hak Milik (HM)
Kost,2675400000,362,275,Lainnya
Kost,894600000,171,42,Hak Milik (HM)
Rumah,1184400000,179,150,Lainnya
Kost,1012200000,187,54,Hak Milik (HM)
Ruko,1368000000,151,134,Hak Guna Bangunan (HGB)
Rumah,561600000,91,65,Lainnya
Gedung,5182800000,374,243,Hak Milik (HM)
Apartemen,984000000,0,164,Hak Guna Bangunan (HGB)
Gedung,3267600000,351,38,Hak Guna Bangunan (HGB)
Apartemen,246000000,0,41,Lainnya
Apartemen,762000000,0,127,Hak Guna Bangunan (HGB)
Ruko,676800000,73,68,Hak Milik (HM)
Ruko,561600000,81,36,Hak Milik (HM)
Kost,1617000000,281,104,Hak Milik (HM)
Gedung,7148400000,477,374,Hak Milik (HM)
Rumah,2016000000,290,270,Hak Guna Bangunan (HGB)
Rumah,1789200000,278,219,Lainnya
Kost,2360400000,480,82,Lainnya
Kost,2373000000,397,168,Hak Guna Bangunan (HGB)
Ruko,3326400000,348,345,Lainnya
Rumah,2206800000,379,234,Hak Milik (HM)
Gedung,4368000000,454,66,Lainnya
Rumah,2430000000,443,232,Hak Guna Bangunan (HGB)
Rumah,2347200000,460,192,Hak Milik (HM)
Rumah,370800000,58,45,Hak Milik (HM)
Rumah,2451600000,480,201,Hak Guna Bangunan (HGB)
Ruko,2865600000,342,255,Hak Guna Bangunan (HGB)
Ruko,1752000000,245,120,Hak Guna Bangunan (HGB)
Rumah,1821600000,424,82,Lainnya
Rumah,1180800000,206,122,Lainnya
Gedung,3805200000,265,188,Lainnya
Kost,819000000,144,51,Lainnya
Ruko,1588800000,231,100,Hak Milik (HM)
Kost,701400000,127,40,Lainnya
Rumah,3146400000,486,388,Lainnya
Rumah,1890000000,274,251,Hak Milik (HM)
Apartemen,234000000,0,39,Hak Milik (HM)
Kost,1117200000,184,82,Hak Milik (HM)
Gedung,5140800000,333,279,Hak Guna Bangunan (HGB)
Kost,2276400000,300,242,Hak Guna Bangunan (HGB)
Ruko,739200000,109,45,Lainnya
Rumah,1893600000,279,247,Lainnya
Ruko,2424000000,341,164,Hak Guna Bangunan (HGB)
Ruko,2304000000,248,232,Hak Milik (HM)
Rumah,432000000,68,52,Hak Guna Bangunan (HGB)
Gedung,3595200000,296,132,Lainnya
Apartemen,798000000,0,133,Hak Guna Bangunan (HGB)
Apartemen,522000000,0,87,Hak Guna Bangunan (HGB)
Gedung,5224800000,324,298,Hak Milik (HM)
Kost,1948800000,270,194,Lainnya
Kost,1394400000,178,154,Hak Milik (HM)
Ruko,1838400000,345,38,Lainnya
Gedung,3847200000,343,115,Hak Milik (HM)
Rumah,1371600000,246,135,Hak Milik (HM)
Ruko,2880000000,492,108,Hak Guna Bangunan (HGB)
Gedung,1369200000,84,79,Lainnya
Ruko,1032000000,173,42,Lainnya
Gedung,6636000000,427,363,Lainnya
Rumah,2059200000,294,278,Lainnya
Apartemen,630000000,0,105,Lainnya
Gedung,3099600000,292,77,Lainnya
Kost,2969400000,392,315,Hak Milik (HM)
Apartemen,990000000,0,165,Hak Guna Bangunan (HGB)
Ruko,652800000,72,64,Lainnya
Kost,957600000,164,64,Hak Guna Bangunan (HGB)
Ruko,3216000000,496,174,Hak Guna Bangunan (HGB)
Rumah,1346400000,322,52,Hak Milik (HM)
Gedung,4208400000,428,73,Hak Milik (HM)
Rumah,345600000,58,38,Hak Guna Bangunan (HGB)
Gedung,2562000000,215,90,Hak Milik (HM)
Gedung,1318800000,93,64,Lainnya
Gedung,4855200000,467,111,Hak Guna Bangunan (HGB)
Apartemen,288000000,0,48,Lainnya
Kost,2629200000,472,154,Hak Guna Bangunan (HGB)
Gedung,5107200000,447,161,Hak Guna Bangunan (HGB)
Rumah,2354400000,476,178,Hak Milik (HM)
Gedung,5997600000,449,265,Hak Milik (HM)
Apartemen,492000000,0,82,Hak Milik (HM)
Kost,1134000000,213,57,Lainnya
Apartemen,1038000000,0,173,Hak Milik (HM)
Apartemen,726000000,0,121,Hak Milik (HM)
Apartemen,1170000000,0,195,Hak Guna Bangunan (HGB)
Apartemen,708000000,0,118,Hak Milik (HM)
Gedung,5182800000,383,234,Hak Guna Bangunan (HGB)
Apartemen,618000000,0,103,Hak Guna Bangunan (HGB)
Gedung,4191600000,329,170,Hak Milik (HM)
Ruko,1843200000,276,108,Hak Milik (HM)
Gedung,1486800000,105,72,Lainnya
Rumah,1731600000,302,179,Lainnya
Gedung,2192400000,161,100,Hak Milik (HM)
Apartemen,390000000,0,65,Hak Milik (HM)
Rumah,421200000,67,50,Hak Guna Bangunan (HGB)
Apartemen,912000000,0,152,Hak Guna Bangunan (HGB)
Kost,3490200000,439,392,Hak Milik (HM)
Gedung,3276000000,213,177,Lainnya
Apartemen,840000000,0,140,Lainnya
Apartemen,828000000,0,138,Hak Milik (HM)
Ruko,504000000,56,49,Lainnya
Gedung,3116400000,252,119,Hak Guna Bangunan (HGB)
Apartemen,342000000,0,57,Lainnya
Apartemen,204000000,0,34,Hak Milik (HM)
Kost,575400000,95,42,Hak Milik (HM)
Rumah,1753200000,260,227,Lainnya
Rumah,1180800000,237,91,Lainnya
Kost,2881200000,454,232,Hak Guna Bangunan (HGB)
Gedung,4166400000,391,105,Lainnya
Gedung,4351200000,456,62,Hak Guna Bangunan (HGB)
Ruko,2520000000,403,122,Hak Milik (HM)
Gedung,2940000000,238,112,Hak Milik (HM)
Apartemen,930000000,0,155,Lainnya
Rumah,820800000,138,90,Hak Milik (HM)
Kost,1629600000,240,148,Hak Guna Bangunan (HGB)
Rumah,1494000000,289,126,Lainnya
Apartemen,1116000000,0,186,Lainnya
Ruko,936000000,120,75,Lainnya
Rumah,2574000000,381,334,Hak Guna Bangunan (HGB)
Ruko,1627200000,270,69,Hak Milik (HM)
Rumah,1299600000,329,32,Hak Milik (HM)
Apartemen,1176000000,0,196,Hak Guna Bangunan (HGB)
Gedung,2604000000,245,65,Hak Guna Bangunan (HGB)
Kost,2641800000,427,202,Lainnya
Gedung,1134000000,81,54,Hak Guna Bangunan (HGB)
Rumah,982800000,150,123,Lainnya
Rumah,2080800000,483,95,Lainnya
Apartemen,252000000,0,42,Hak Milik (HM)
Rumah,579600000,129,32,Lainnya
Kost,676200000,115,46,Hak Guna Bangunan (HGB)
Kost,949200000,145,81,Lainnya
Gedung,5628000000,356,314,Hak Milik (HM)
Ruko,2424000000,287,218,Hak Milik (HM)
Apartemen,1068000000,0,178,Lainnya
Apartemen,822000000,0,137,Lainnya
Gedung,6602400000,455,331,Hak Guna Bangunan (HGB)
Gedung,5182800000,443,174,Lainnya
Kost,466200000,57,54,Lainnya
Kost,1554000000,237,133,Hak Guna Bangunan (HGB)
Apartemen,708000000,0,118,Hak Guna Bangunan (HGB)
Gedung,6972000000,485,345,Hak Milik (HM)
Ruko,2020800000,299,122,Hak Guna Bangunan (HGB)
Rumah,2455200000,474,208,Hak Guna Bangunan (HGB)
Apartemen,222000000,0,37,Lainnya
Apartemen,432000000,0,72,Hak Milik (HM)
Kost,1600200000,331,50,Hak Guna Bangunan (HGB)
Apartemen,726000000,0,121,Lainnya
Ruko,2630400000,444,104,Hak Milik (HM)
Kost,1953000000,377,88,Hak Guna Bangunan (HGB)
Rumah,2142000000,484,111,Lainnya
Kost,1176000000,170,110,Hak Guna Bangunan (HGB)
Apartemen,990000000,0,165,Hak Guna Bangunan (HGB)
Kost,2725800000,330,319,Hak Guna Bangunan (HGB)
Gedung,5031600000,493,106,Hak Guna Bangunan (HGB)
Kost,1457400000,262,85,Lainnya
Ruko,2760000000,488,87,Hak Milik (HM)
Apartemen,222000000,0,37,Lainnya
Apartemen,1164000000,0,194,Lainnya
Rumah,2311200000,389,253,Lainnya
Gedung,4536000000,484,56,Hak Milik (HM)
Gedung,2394000000,157,128,Hak Milik (HM)
Ruko,2976000000,350,270,Lainnya
Gedung,3234000000,354,31,Lainnya
Gedung,5409600000,411,233,Lainnya
Rumah,1602000000,331,114,Lainnya
Apartemen,918000000,0,153,Hak Guna Bangunan (HGB)
Rumah,694800000,135,58,Hak Milik (HM)
Gedung,2049600000,154,90,Hak Guna Bangunan (HGB)
Apartemen,696000000,0,116,Hak Milik (HM)
Ruko,1382400000,170,118,Lainnya
Gedung,4796400000,332,239,Hak Milik (HM)
Rumah,1116000000,249,61,Hak Guna Bangunan (HGB)
Apartemen,708000000,0,118,Hak Guna Bangunan (HGB)
Gedung,5241600000,367,257,Hak Milik (HM)
Rumah,1436400000,209,190,Lainnya
Ruko,2832000000,433,157,Hak Guna Bangunan (HGB)
Ruko,1156800000,169,72,Hak Milik (HM)
Kost,2977800000,482,227,Hak Milik (HM)
Gedung,1310400000,101,55,Hak Milik (HM)
Rumah,1522800000,242,181,Hak Guna Bangunan (HGB)
Rumah,644400000,90,89,Lainnya
Apartemen,576000000,0,96,Hak Guna Bangunan (HGB)
Kost,705600000,91,77,Lainnya
Gedung,4401600000,346,178,Hak Milik (HM)
Ruko,1156800000,123,118,Hak Guna Bangunan (HGB)
Gedung,1192800000,72,70,Hak Milik (HM)
Kost,1701000000,282,123,Lainnya
Apartemen,744000000,0,124,Hak Guna Bangunan (HGB)
Rumah,1141200000,186,131,Hak Guna Bangunan (HGB)
Ruko,3264000000,438,242,Lainnya
Kost,995400000,137,100,Hak Guna Bangunan (HGB)
Kost,2226000000,354,176,Lainnya
Rumah,1659600000,317,144,Hak Milik (HM)
Gedung,3704400000,274,167,Hak Guna Bangunan (HGB)
Kost,1108800000,169,95,Hak Milik (HM)
Gedung,1890000000,151,74,Lainnya
Gedung,1957200000,161,72,Hak Guna Bangunan (HGB)
Ruko,1550400000,165,158,Lainnya
Apartemen,1110000000,0,185,Lainnya
Gedung,1377600000,132,32,Hak Guna Bangunan (HGB)
Rumah,1933200000,329,208,Lainnya
Rumah,1872000000,276,244,Hak Guna Bangunan (HGB)
Gedung,2116800000,153,99,Hak Guna Bangunan (HGB)
Rumah,684000000,128,62,Hak Guna Bangunan (HGB)
Rumah,525600000,80,66,Hak Milik (HM)
Apartemen,966000000,0,161,Hak Guna Bangunan (HGB)
Gedung,3670800000,326,111,Lainnya
Gedung,1192800000,98,44,Hak Guna Bangunan (HGB)
Gedung,5602800000,391,276,Lainnya
Apartemen,1068000000,0,178,Hak Guna Bangunan (HGB)
Rumah,1440000000,288,112,Lainnya
Gedung,1234800000,102,45,Hak Guna Bangunan (HGB)
Kost,1608600000,323,60,Hak Milik (HM)
Kost,3297000000,450,335,Hak Milik (HM)
Ruko,3840000000,452,348,Lainnya
Rumah,1166400000,238,86,Lainnya
Gedung,957600000,64,50,Lainnya
Kost,819000000,117,78,Hak Guna Bangunan (HGB)
Apartemen,1056000000,0,176,Hak Milik (HM)
Ruko,542400000,65,48,Hak Milik (HM)
Kost,630000000,85,65,Lainnya
Rumah,460800000,93,35,Hak Guna Bangunan (HGB)
Kost,2297400000,472,75,Hak Guna Bangunan (HGB)
Apartemen,396000000,0,66,Hak Guna Bangunan (HGB)
Apartemen,1026000000,0,171,Hak Guna Bangunan (HGB)
Ruko,2217600000,356,106,Hak Milik (HM)
Ruko,3105600000,355,292,Hak Milik (HM)
Kost,2171400000,444,73,Hak Guna Bangunan (HGB)
Kost,3099600000,370,368,Hak Guna Bangunan (HGB)
Ruko,4032000000,485,355,Hak Guna Bangunan (HGB)
Rumah,1418400000,280,114,Hak Milik (HM)
Ruko,696000000,97,48,Lainnya
Apartemen,1194000000,0,199,Lainnya
Ruko,2241600000,268,199,Lainnya
Ruko,916800000,108,83,Lainnya
Rumah,576000000,119,41,Hak Guna Bangunan (HGB)
Gedung,1663200000,112,86,Hak Milik (HM)
Apartemen,306000000,0,51,Hak Guna Bangunan (HGB)
Apartemen,192000000,0,32,Lainnya
Ruko,2755200000,477,97,Lainnya
Apartemen,564000000,0,94,Hak Guna Bangunan (HGB)
Rumah,1868400000,314,205,Hak Guna Bangunan (HGB)
Kost,3507000000,446,389,Hak Guna Bangunan (HGB)
Apartemen,450000000,0,75,Hak Guna Bangunan (HGB)
Ruko,3427200000,434,280,Hak Guna Bangunan (HGB)
Rumah,990000000,151,124,Lainnya
Kost,2956800000,389,315,Hak Milik (HM)
Rumah,468000000,74,56,Hak Milik (HM)
Kost,2335200000,355,201,Hak Milik (HM)
Apartemen,600000000,0,100,Hak Guna Bangunan (HGB)
Rumah,1425600000,228,168,Lainnya
Kost,1659000000,203,192,Hak Guna Bangunan (HGB)
Ruko,2414400000,274,229,Hak Guna Bangunan (HGB)
Apartemen,588000000,0,98,Lainnya
Rumah,392400000,56,53,Lainnya
Gedung,6510000000,453,322,Lainnya
Apartemen,534000000,0,89,Hak Milik (HM)
Apartemen,204000000,0,34,Lainnya
Ruko,2443200000,259,250,Hak Milik (HM)
Ruko,1171200000,214,30,Lainnya
Ruko,3864000000,429,376,Lainnya
Apartemen,204000000,0,34,Hak Guna Bangunan (HGB)
Apartemen,228000000,0,38,Hak Guna Bangunan (HGB)
Kost,516600000,65,58,Lainnya
Gedung,2973600000,199,155,Hak Milik (HM)
Rumah,2919600000,428,383,Hak Milik (HM)
Gedung,4645200000,403,150,Hak Milik (HM)
Gedung,848400000,67,34,Hak Milik (HM)
Rumah,2307600000,415,226,Hak Milik (HM)
Ruko,1670400000,284,64,Hak Guna Bangunan (HGB)
Kost,1163400000,144,133,Hak Guna Bangunan (HGB)
Ruko,4118400000,469,389,Hak Milik (HM)
Rumah,3301200000,459,458,Hak Guna Bangunan (HGB)
Rumah,2293200000,339,298,Lainnya
Ruko,2961600000,433,184,Hak Milik (HM)
Apartemen,354000000,0,59,Hak Milik (HM)
Ruko,1180800000,192,54,Hak Guna Bangunan (HGB)
Ruko,2294400000,356,122,Lainnya
Ruko,1070400000,117,106,Hak Guna Bangunan (HGB)
Rumah,2286000000,482,153,Hak Milik (HM)
Kost,2864400000,359,323,Lainnya
Kost,529200000,74,52,Hak Guna Bangunan (HGB)
Apartemen,240000000,0,40,Lainnya
Gedung,4813200000,310,263,Lainnya
Gedung,7022400000,429,407,Hak Milik (HM)
Kost,1176000000,200,80,Hak Milik (HM)
Apartemen,1044000000,0,174,Hak Guna Bangunan (HGB)
Rumah,2019600000,403,158,Hak Milik (HM)
Ruko,2500800000,357,164,Hak Guna Bangunan (HGB)
Ruko,2404800000,384,117,Hak Guna Bangunan (HGB)
Gedung,2142000000,197,58,Hak Milik (HM)
Apartemen,882000000,0,147,Lainnya
Kost,1050000000,160,90,Hak Guna Bangunan (HGB)
Gedung,4645200000,487,66,Hak Milik (HM)
Kost,915600000,183,35,Hak Milik (HM)
Kost,2045400000,260,227,Hak Milik (HM)
Kost,2352000000,500,60,Lainnya
Apartemen,1014000000,0,169,Hak Guna Bangunan (HGB)
Apartemen,960000000,0,160,Hak Milik (HM)
Rumah,691200000,161,31,Lainnya
Apartemen,282000000,0,47,Hak Guna Bangunan (HGB)
Gedung,5426400000,455,191,Hak Milik (HM)
Apartemen,300000000,0,50,Hak Guna Bangunan (HGB)
Rumah,1022400000,188,96,Lainnya
Rumah,716400000,154,45,Hak Milik (HM)
Rumah,1803600000,432,69,Lainnya
Kost,2578800000,349,265,Lainnya
Ruko,2635200000,374,175,Hak Milik (HM)
Kost,2255400000,449,88,Hak Milik (HM)
Kost,966000000,200,30,Hak Guna Bangunan (HGB)
Kost,3187800000,470,289,Lainnya
Apartemen,1098000000,0,183,Lainnya
Apartemen,192000000,0,32,Lainnya
Rumah,2646000000,439,296,Lainnya
Apartemen,180000000,0,30,Hak Guna Bangunan (HGB)
Kost,861000000,154,51,Hak Milik (HM)
Ruko,4593600000,480,477,Lainnya
Kost,890400000,106,106,Lainnya
Kost,1835400000,365,72,Lainnya
Ruko,1972800000,275,136,Lainnya
Kost,1545600000,240,128,Lainnya
Ruko,2121600000,280,162,Lainnya
Gedung,5980800000,382,330,Hak Guna Bangunan (HGB)
Rumah,2962800000,466,357,Lainnya
Ruko,2985600000,352,270,Hak Milik (HM)
Kost,2776200000,391,270,Lainnya
Ruko,974400000,105,98,Hak Milik (HM)
Ruko,1344000000,141,139,Lainnya
Gedung,7089600000,462,382,Hak Milik (HM)
Gedung,7148400000,480,371,Lainnya
Apartemen,822000000,0,137,Hak Guna Bangunan (HGB)
Kost,2196600000,479,44,Lainnya
Apartemen,384000000,0,64,Lainnya
Gedung,4149600000,442,52,Hak Milik (HM)
Kost,1780800000,264,160,Lainnya
Gedung,2797200000,206,127,Lainnya
Rumah,2361600000,421,235,Hak Guna Bangunan (HGB)
Apartemen,672000000,0,112,Lainnya
Kost,1449000000,243,102,Hak Guna Bangunan (HGB)
Kost,378000000,59,31,Lainnya
Rumah,1008000000,232,48,Hak Guna Bangunan (HGB)
Ruko,2462400000,425,88,Hak Milik (HM)
Ruko,2232000000,242,223,Hak Milik (HM)
Gedung,3889200000,258,205,Hak Milik (HM)
Apartemen,528000000,0,88,Hak Milik (HM)
Rumah,2246400000,370,254,Lainnya
Rumah,921600000,154,102,Hak Guna Bangunan (HGB)
Rumah,777600000,129,87,Hak Milik (HM)
Ruko,811200000,114,55,Lainnya
Rumah,705600000,148,48,Hak Guna Bangunan (HGB)
Kost,2066400000,274,218,Lainnya
Kost,1810200000,305,126,Hak Guna Bangunan (HGB)
Rumah,1990800000,486,67,Hak Milik (HM)
Ruko,1651200000,204,140,Lainnya
Kost,2889600000,352,336,Hak Guna Bangunan (HGB)
Kost,2146200000,422,89,Hak Guna Bangunan (HGB)
